Composition,Eg_exp,Eg_DFT
Ag2BiO3,0,0.3872
Ag2BiO3,0,0.5053
Ag2GeS3,1.98,0.4646
Ag2GeSe3,0.91,0.0626
Ag2HgI4,2.47,1.2764
Ag2HgI4,2.47,1.2219
Ag2HgI4,2.47,0.0872
Ag2HgI4,2.47,1.1004
Ag2P2PbO7,0,2.3697
Ag2S,1.23,1.184
Ag2S,1.23,1.2299
Ag2S,1.23,0.9742
Ag2S,1.23,1.5694
Ag2S,1.23,1.0891
Ag2S,1.23,0.6819
Ag2S,1.23,0.6685
Ag2S,1.23,1.3634
Ag2S,1.23,1.3001
Ag2S,1.23,0.6243
Ag2S,1.23,1.4428
Ag2S,1.23,1.0895
Ag2S,1.23,0.1202
Ag2S,1.23,1.0853
Ag2S,1.23,0.3701
Ag2S,1.23,1.0007
Ag2SnSe3,0.84,0.0586
Ag3AsS3,2.235,1.1771
Ag3AsS3,2.235,1.6989
Ag3AsS3,2.235,1.6278
Ag3AsSe3,1.98,0.8453
Ag3AsSe3,1.98,0.9037
Ag3SbS3,2.077,1.8371
Ag3SbS3,2.077,0.9521
Ag3SbS3,2.077,1.5142
Ag5IO6,1.4,0.0205
Ag7AsS6,1,0.7299
Ag8GeS6,1.18,0.6102
AgAsS2,2.14,1.4968
AgAsS2,2.14,1.5777
AgBiS2,0.9,0.4918
AgBiS2,0.9,0.2304
AgBiS2,0.9,0.5212
AgBiS2,0.9,0.3169
AgBiSe2,0.34,0.2618
AgBiSe2,0.34,0.2341
AgBiSe2,0.34,0.0211
AgBr,2.52,0.1214
AgBr,2.52,1.2442
AgBr,2.52,0.7304
AgBr,2.52,0.699
AgBr,2.52,1.1708
AgCl,5.13,0.7132
AgCl,5.13,0.9522
AgCl,5.13,0.872
AgCl,5.13,0.4438
AgCl,5.13,0.6022
AgCNO,0,1.3019
AgCNO,0,2.3532
AgCNO,0,3.0696
AgCNO,0,2.8161
AgI,3.0247,1.8797
AgI,3.0247,1.3877
AgI,3.0247,0.7684
AgI,3.0247,1.3674
AgI,3.0247,1.5986
AgI,3.0247,0.9589
AgI,3.0247,1.3759
AgI,3.0247,1.3143
AgN3,3.44,1.5714
AgN3,3.44,1.6315
AgO,1.57,0.116
AgO,1.57,0.1826
AgP15,1.47,1.2132
AgSbS2,1.9,1.7448
AgSbS2,1.9,1.3127
AgSbS2,1.9,0.0764
AgSbS2,1.9,1.3716
AgSbS2,1.9,1.6047
AgTe,0.85,0.2411
Al2Cr2O7,0,0.0925
Al2Ru,0,0.0864
Al2S3,4.1,2.4329
Al2S3,4.1,3.0435
Al2S3,4.1,2.817
Al2S3,4.1,2.0693
Al2S3,4.1,1.025
Al2Se3,3.1,1.8004
Al2Se3,3.1,0.586
Al2Se3,3.1,0.9578
Al2Se3,3.1,1.1246
Al2Te3,2.2,1.3222
Al2Te3,2.2,0.683
Al2Te3,2.2,1.854
AlAs,0,1.5037
AlAs,0,1.687
AlAs,0,1.1898
AlCoO3,0,2.5603
AlCoO3,0,0.0255
AlCoO3,0,0.8939
AlCoO3,0,0.8272
AlCoO3,0,0.3481
AlN,5.9,3.2687
AlN,5.9,4.4175
AlN,5.9,3.3056
AlN,5.9,4.0467
AlP,3.62,1.6294
AlP,3.62,1.9533
AlP,3.62,2.3944
AlSb,1.666,0.9179
AlSb,1.666,0.7753
AlSb,1.666,1.2255
As2O3,4,3.4494
As2O3,4,1.4491
As2O3,4,3.0503
As2O3,4,3.6287
As2O3,4,3.6206
As2O3,4,3.3787
As2O3,4,3.6306
As2O3,4,4.0339
As2O3,4,4.0234
As2O3,4,3.7495
As2S3,1.89,1.9873
As2S3,1.89,2.0989
As2Se3,1.84,0.6003
As2Se3,1.84,1.4466
AsBr3,2.6,3.1271
AsI3,2.29,2.2375
AsSeI,1.76,1.2345
AuBrO2,0,0.7129
B2O3,4.9,4.1254
B2O3,4.9,4.231
B2O3,4.9,4.1765
B2O3,4.9,4.4301
B2O3,4.9,4.4793
B2O3,4.9,6.3017
B2O3,4.9,8.3751
B4C,1.64,3.0415
B4C,1.64,1.5149
B6P,3.3,2.4757
Ba12In4S19,2.56,1.978
Ba2BiSbO6,0,1.7228
Ba2BiSbO6,0,1.7746
Ba2BiSbO6,0,1.6958
Ba2BiSbO6,0,1.6439
Ba2BiSbO6,0,0.3197
Ba2CoWO6,0,1.8427
Ba2FeMoO6,0,0.8641
Ba2FeMoO6,0,0.7715
Ba2FeMoO6,0,0.9037
Ba2GaBiSe5,2.21,1.7506
Ba2GaBiTe5,1.43,1.0652
Ba2GaSbSe5,2.51,1.8067
Ba2GaSbTe5,1.66,0.9728
Ba2HgS5,2.4,1.6693
Ba2In2S5,2.47,1.8679
Ba2In2Se5,2.12,1.281
Ba2InSbSe5,1.92,0.768
Ba2NdGaS5,2.12,1.8105
Ba2ScTaO6,4.19,3.0173
Ba2Si5N8,4.1,2.8816
Ba2SmTaO6,3.02,3.3634
Ba2SnSe4,1.9,1.2646
Ba2SnSe5,1.8,1.3443
Ba2SnSe5,1.8,1.0872
Ba2UCuO6,0,0.0731
Ba2V2Te2O11,3.16,3.2676
Ba2ZnSe3,2.75,1.6214
Ba2ZnTe3,2.1,1.2922
Ba3Bi2TeO9,2.3,2.1188
Ba3FeS4Br,1.65,0.4962
Ba3GeS5,3,2.0632
Ba3InS4Cl,3.42,2.8257
Ba3MgTa2O9,4.28,3.2733
Ba3N2,0,0.0978
Ba3Nb2CoO9,0,1.6878
Ba3Nb2Se9,1.3,1.0023
Ba3Sb2S7,2.4,1.9022
Ba3Ta2Se9,1.6,1.202
Ba3ThSe7,1.96,0.923
Ba4Ga4SnSe12,2.16,1.3292
Ba4LiGa5Se12,2.65,1.7354
Ba5In4Te4S7,2.13,1.1329
Ba8Al10B12O41,3.1,4.4373
Ba8Sn4S15,2.31,2.0442
BaAgSbS3,2.2,1.4229
BaAl4Se7,3.4,2.3933
BaCdSnS4,2.3,2.1964
BaCu2SnSe4,0.48,0.453
BaCuTeF,2.3,0.9884
BaF2,9.1,6.6029
BaF2,9.1,6.8553
BaF2,9.1,5.9306
BaGa2GeS6,3.26,2.7663
BaGa2GeSe6,2.81,1.9186
BaGa2SiS6,3.75,3.0907
BaGa2SiSe6,2.88,2.3894
BaGa4S7,3.54,2.58
BaGa4Se7,2.64,1.4956
BaGe2,1,0.5255
BaHgS2,1.93,1.1569
BaMnO3,0,1.8948
BaMnO3,0,0.8953
BaMnO3,0,2.0901
BaMnO3,0,0.7543
BaMnO3,0,0.8359
BaMnO3,0,0.8679
BaO,4.8,2.3602
BaO,4.8,2.1422
BaO,4.8,2.2831
BaO,4.8,1.7049
BaO,4.8,1.3032
BaO,4.8,1.7495
BaO,4.8,1.7654
BaO,4.8,1.481
BaO,4.8,2.0906
BaO,4.8,2.5282
BaO,4.8,2.7678
BaO,4.8,2.3834
BaReH9,3.44,3.0092
BaReH9,3.44,3.1242
BaReH9,3.44,0.3484
BaReH9,3.44,3.7353
BaReH9,3.44,0.1347
BaReH9,3.44,3.8947
BaReH9,3.44,3.7118
BaReH9,3.44,3.8349
BAs,1.46,1.2037
BAs,1.46,1.1428
BAs,1.46,2.1488
BaSe,3.58,1.2126
BaSe,3.58,1.9488
BaSi2,1.3,0.7813
BaSn2S5,2.35,1.5453
BaSnO3,3.1,0.6651
BaSnO3,3.1,0.3724
BaTe,3.4,1.593
BaTe,3.4,0.7769
BaTeMo2O9,3.12,3.0136
BaTeMo2O9,3.12,2.8794
BaTiO3,3.1,1.6663
BaTiO3,3.1,2.5087
BaTiO3,3.1,2.0811
BaTiO3,3.1,2.293
BaTiO3,3.1,1.7261
BaTiO3,3.1,1.728
BaTiO3,3.1,0.3567
BaV2SeO8,2.13,2.0881
Be3N2,3.8,4.27
Be3N2,3.8,2.7645
Be3N2,3.8,3.3145
Be3N2,3.8,3.3284
BeO,10.39,4.4843
BeO,10.39,4.4524
BeO,10.39,4.7618
BeO,10.39,4.2425
BeO,10.39,4.3211
BeO,10.39,6.8477
BeO,10.39,8.1681
BeO,10.39,7.4639
BeO,10.39,7.0846
BeS,4.17,3.1453
BeSe,4,0.4488
BeSe,4,2.6637
BeTe,2.89,2.2712
BeTe,2.89,2.0173
Bi2I4O13,3.3,3.0737
Bi2Mo2Se2O13,3.15,2.8105
Bi2O3,2.86,0.1003
Bi2O3,2.86,1.1218
Bi2O3,2.86,0.6116
Bi2O3,2.86,2.4257
Bi2O3,2.86,1.4875
Bi2O3,2.86,2.0782
Bi2O3,2.86,2.5814
Bi2O3,2.86,1.4737
Bi2O3,2.86,1.7487
Bi2O3,2.86,2.5398
Bi2O3,2.86,2.4549
Bi2O3,2.86,1.9197
Bi2O3,2.86,1.6582
Bi2O3,2.86,2.1945
Bi2O3,2.86,1.6863
Bi2O3,2.86,2.277
Bi2O3,2.86,1.237
Bi2O3,2.86,0.8821
Bi2O3,2.86,0.6421
Bi2O3,2.86,1.0081
Bi2O3,2.86,1.3046
Bi2O3,2.86,1.684
Bi2O3,2.86,1.8235
Bi2Pd3S2,0,0.06
Bi2S3,1.25,1.3618
Bi2Se3,0.4,0.5469
Bi2Se3,0.4,0.9578
Bi2Se3,0.4,0.3769
Bi2Te2Se,0.3,0.5442
Bi2Te3,0.25,0.4617
Bi2Te3,0.25,0.3388
BiBr3,2.66,2.8826
BiBr3,2.66,2.8692
BiBr3,2.66,2.5189
BiBr3,2.66,2.8714
BiI3,1.8,2.2293
BiI3,1.8,2.297
BiI3,1.8,2.7889
BiI3,1.8,2.8081
BiI3,1.8,2.5349
BiI3,1.8,2.4854
BiPO4,3.85,2.999
BiPO4,3.85,3.7758
BiPO4,3.85,4.0348
BiPO4,3.85,2.0415
BiPO4,3.85,3.6893
BiPO4,3.85,4.2384
BiSBr,1.92,2.032
BiSCl,1.89,1.9636
BiSeBr,1.5,1.6912
BiSeI,1.32,1.5764
BiSI,1.56,1.8669
BiTeI,0.46,1.2325
BiTeNO6,3.62,2.8005
BP,4.2,1.0624
BP,4.2,1.2435
BSb,2.6,0.7506
Ca2CdAs2,0.95,0.853
Ca2CdAs2,0.95,0.6609
Ca2Ge,1,0.5756
Ca2Ge,1,0.2999
Ca2MnAlO5,0,0.5726
Ca2ScSbO6,3.68,3.6318
Ca2Si,1.9,0.321
Ca2Si,1.9,0.2915
Ca2Sn,0.9,0.4354
Ca2Sn,0.9,0.0559
Ca2SnS4,2.32,1.0508
Ca2SnS4,2.32,1.8182
Ca2SnS4,2.32,0.872
Ca2SnS4,2.32,2.0406
Ca2SnS4,2.32,2.2605
Ca2SnS4,2.32,2.0269
Ca2SnS4,2.32,1.6015
Ca2SnS4,2.32,1.0654
Ca2SnS4,2.32,0.8648
Ca2SnS4,2.32,2.4423
Ca2SnS4,2.32,2.0263
Ca2SnS4,2.32,1.0856
Ca2SnS4,2.32,0.8674
Ca2SnS4,2.32,1.2367
Ca2SnS4,2.32,1.7377
Ca2SnS4,2.32,1.9557
Ca2SnS4,2.32,1.3308
Ca2SnS4,2.32,2
Ca2SnS4,2.32,1.6419
Ca3N2,1.55,0.7787
Ca3N2,1.55,1.4173
Ca3N2,1.55,1.3742
Ca3N2,1.55,1.3593
Ca3N2,1.55,1.2986
Ca3N2,1.55,1.3497
Ca3Sb2,1.4,0.0854
Ca3SbN,0,0.4075
Ca3Sn2S7,0,1.1259
Ca3Sn2S7,0,2.0608
Ca3Sn2S7,0,0.624
Ca3Sn2S7,0,0.4595
Ca3Sn2S7,0,1.7828
Ca4Bi6O13,2.76,1.7028
Ca4Bi6O13,2.76,2.1692
Ca4Bi6O13,2.76,1.2141
Ca4Bi6O13,2.76,1.7193
Ca5B3O9F,6.53,4.2368
Ca5Sb3,0,0.2412
CaF2,9.92,7.4677
CaF2,9.92,7.1157
CaF2,9.92,5.1414
CaF2,9.92,6.2538
CaI2,5.98,3.8971
CaMg2N2,3.25,1.9969
CaO,6.971,1.7422
CaO,6.971,2.0869
CaO,6.971,2.1384
CaO,6.971,1.9974
CaO,6.971,2.4659
CaO,6.971,3.6301
CaO,6.971,3.12
CaS,6,2.3819
CaSe,4.87,3.1661
CaSe,4.87,2.0728
CaSnO3,4.4,0.7363
CaSnO3,4.4,2.9379
CaSnO3,4.4,2.3301
CaSnO3,4.4,1.3905
CaTe,4.3,1.5535
CaTe,4.3,1.6323
CaTiO2,0,0.0204
CBr4,3.7,2.9265
Cd3As2,0.24,0.1409
Cd3As2,0.24,0.1805
Cd3P2,0.54,0.0018
Cd4As2Br3,1.88,0.9704
Cd4As2I3,1.89,1.174
Cd4P2Br3,2.19,1.3986
Cd4P2Cl3,2.24,1.3826
Cd4P2I3,2.17,1.3778
Cd4Sb2I3,1.83,1.1306
CdAs2,1,0.1332
CdAuO2,0,0.8955
CdBr2,4.47,2.9381
CdBr2,4.47,2.8798
CdBr2,4.47,2.8551
CdCl2,5.7,3.1363
CdCl2,5.7,3.5244
CdCl2,5.7,2.8987
CdCl2,5.7,3.5155
CdF2,6,2.7418
CdF2,6,2.8977
CdGeAs2,0.61,0.0085
CdGeP2,1.65,0.6455
CdI2,3.8,2.3874
CdI2,3.8,2.3656
CdI2,3.8,2.4195
CdI2,3.8,2.3218
CdI2,3.8,2.2164
CdI2,3.8,2.264
CdI2,3.8,2.3572
CdI2,3.8,2.3555
CdI2,3.8,2.0306
CdI2,3.8,2.3485
CdI2,3.8,2.3813
CdI2,3.8,2.3662
CdI2,3.8,2.3663
CdI2,3.8,2.4139
CdI2,3.8,2.3549
CdI2,3.8,2.3628
CdI2,3.8,2.3893
CdI2,3.8,2.3909
CdI2,3.8,2.3769
CdI2,3.8,2.3621
CdI2,3.8,2.3549
CdI2,3.8,2.3541
CdI2,3.8,2.3629
CdI2,3.8,2.3967
CdI2,3.8,2.3392
CdI2,3.8,2.3983
CdI2,3.8,2.3789
CdI2,3.8,2.3602
CdI2,3.8,2.3623
CdI2,3.8,2.3382
CdI2,3.8,2.395
CdI2,3.8,2.2334
CdI2,3.8,2.4082
CdI2,3.8,2.3711
CdI2,3.8,2.4065
CdI2,3.8,2.3728
CdI2,3.8,2.4113
CdI2,3.8,1.9111
CdI2,3.8,2.3821
CdI2,3.8,2.3518
CdI2,3.8,1.9641
CdI2,3.8,2.3696
CdI2,3.8,2.4005
CdI2,3.8,2.3506
CdI2,3.8,2.3649
CdI2,3.8,2.3644
CdI2,3.8,2.3794
CdI2,3.8,2.4018
CdI2,3.8,2.36
CdI2,3.8,2.464
CdI2,3.8,2.3705
CdI2,3.8,2.3615
CdI2,3.8,2.3738
CdI2,3.8,2.3609
CdI2,3.8,2.3795
CdI2,3.8,2.4505
CdI2,3.8,2.3543
CdI2,3.8,2.3862
CdI2,3.8,2.3799
CdI2,3.8,2.4236
CdI2,3.8,2.3619
CdI2,3.8,2.386
CdI2,3.8,2.3733
CdI2,3.8,2.4014
CdI2,3.8,2.3755
CdI2,3.8,2.3728
CdI2,3.8,2.3552
CdI2,3.8,2.3729
CdI2,3.8,2.3739
CdI2,3.8,2.4407
CdI2,3.8,2.4398
CdI2,3.8,2.3562
CdI2,3.8,2.3724
CdI2,3.8,2.3966
CdI2,3.8,2.4047
CdI2,3.8,2.3803
CdI2,3.8,2.4027
CdI2,3.8,2.4107
CdI2,3.8,2.4557
CdI2,3.8,2.4075
CdI2,3.8,2.3743
CdI2,3.8,2.3414
CdI2,3.8,2.3318
CdI2,3.8,2.3357
CdI2,3.8,2.3693
CdI2,3.8,2.3651
CdI2,3.8,2.3874
CdI2,3.8,2.357
CdI2,3.8,2.3551
CdI2,3.8,2.3663
CdI2,3.8,2.3407
CdI2,3.8,2.3283
CdI2,3.8,2.3394
CdI2,3.8,2.361
CdI2,3.8,2.3388
CdI2,3.8,2.3368
CdI2,3.8,2.3383
CdI2,3.8,2.3504
CdI2,3.8,2.3307
CdI2,3.8,2.3352
CdI2,3.8,2.3354
CdI2,3.8,2.325
CdI2,3.8,2.3668
CdI2,3.8,2.3317
CdI2,3.8,2.3277
CdI2,3.8,2.3412
CdI2,3.8,2.3435
CdI2,3.8,2.3354
CdI2,3.8,2.332
CdI2,3.8,2.3369
CdI2,3.8,2.3395
CdI2,3.8,2.3396
CdI2,3.8,2.3251
CdI2,3.8,2.3186
CdI2,3.8,2.3352
CdI2,3.8,2.3215
CdI2,3.8,2.3574
CdI2,3.8,2.345
CdI2,3.8,2.3597
CdI2,3.8,2.3403
CdI2,3.8,2.3569
CdI2,3.8,2.3474
CdP2,2.134,1.4562
CdP2,2.134,1.4898
CdP2,2.134,1.4556
CdP4,1.049,0.6551
CdS,2.501,1.5192
CdS,2.501,0.2766
CdS,2.501,1.0492
CdS,2.501,1.4908
CdS,2.501,0.2793
CdS,2.501,1.125
CdSb,0.57,0.0201
CdSb2Se3Br2,1.4,1.1429
CdSe,1.751,0.5724
CdSe,1.751,0.5096
CdSiAs2,1.5,0.4002
CdSiP2,1.8,1.4257
CdSnAs2,0.3,0.0063
CdSnO3,3,0.7079
CdSnO3,3,0.9762
CdSnO3,3,0.6904
CdSnP2,1.5,0.2695
CdTe,1.5,0.6186
CdTe,1.5,0.0215
CdTe,1.5,0.025
CdTe,1.5,0.5846
CdTe,1.5,0.6234
CdTeO3,3.91,3.019
Ce4FeSe6O,0,0.0795
CeBiW2O9,2.34,0.1477
CeF3,4.85,0.9484
CeO2,3.41,0.8878
CeO2,3.41,2.1485
CeO2,3.41,1.8647
CI4,2.26,1.1181
Co2O3,0,0.1519
Co2Te3O8,3.6,2.4813
Co5RuO8,0,0.0052
CoAsSe,0.2,0.6982
CoAsSe,0.2,0.3947
CoH2(SN)4,0,0.0289
CoOF,0,0.2316
CoP2,0.35,0.4378
CoPS,0.4,1.1231
CoSb3,0.5,0.1633
CoSbS,0.11,0.5518
CoSbS,0.11,0.2411
CoSbS,0.11,0.3674
Cr2O3,4.8,0.7749
Cr2O3,4.8,1.2217
Cr2O3,4.8,0.5239
Cr2O3,4.8,0.3521
Cr2O3,4.8,0.7689
Cr2O3,4.8,0.468
Cr2O3,4.8,0.2748
Cr2O3,4.8,0.7144
Cr2O3,4.8,0.6132
Cr2O3,4.8,0.3509
Cr2O3,4.8,2.4059
Cr2O3,4.8,1.831
CrH9(CN2)3,0,0.4028
CrO2,0.23,0.2743
CrO2,0.23,0.9693
CrO2,0.23,0.0147
CrO2,0.23,0.5338
CrO2,0.23,1.0567
CrO2,0.23,1.0276
CrO2,0.23,0.2641
CrO2,0.23,0.042
CrO2,0.23,0.3689
CrO2,0.23,0.3686
CrO3,1.4,1.3264
CrO3,1.4,2.2699
CrO3,1.4,2.0419
CrO3,1.4,1.6689
CrO3,1.4,1.914
CrO3,1.4,1.3587
CrO3,1.4,2.3376
CrO3,1.4,1.6375
CrSi2,1.3,0.3639
CrSi2,1.3,0.3639
Cs2AgBiBr6,2.19,1.3547
Cs2AgBiCl6,2.77,1.8663
Cs2Al2B2O7,4.13,4.249
Cs2Cd3Te4,2.48,1.5587
Cs2Cu2Sb2S5,1.6,1.1043
Cs2Hg3I8,2.56,1.7314
Cs2Hg3S4,2.8,1.7325
Cs2Hg6S7,1.63,0.6231
Cs2MgGe3Se8,2.04,1.4687
Cs2MgSn3Se8,1.92,1.4299
Cs2NaCoF6,0,2.801
Cs2PdSe8,1.5,1.1887
Cs2Sb,0.62,0.2839
Cs2Te,3.5,1.774
Cs2TeBr6,2.12,2.1121
Cs2TeI6,1.5,1.3877
Cs2ZnGe3Se8,2.31,1.4028
Cs2ZnSn3Se8,2.12,1.2553
Cs3Bi,0.55,0.179
Cs3Bi2Br9,2.5,2.5996
Cs3Bi2Br9,2.5,2.7811
Cs3Bi2I9,1.9,2.3509
Cs3Bi2I9,1.9,2.3796
Cs3Nb2AsSe11,1.35,0.9588
Cs3Sb,1.6,0.6126
Cs3Sb2Br9,2.3,1.9837
Cs3Sb2I9,1.89,1.883
Cs3Sb2I9,1.89,1.5406
Cs4BiAs3Se7,1.02,1.4702
Cs4Zr3S14,2.35,1.466
CsAg2AsS3,2.7,1.65
CsAg5Te3,0.65,0.0201
CsAgSb4S7,2.04,1.456
CsAsSe2,1.86,1.6057
CsAsSe2,1.86,1.625
CsAu,2.3,1.0233
CsB3O5,7.42,5.304
CsBi3Se5,0.43,1.4617
CsBiS2,1.4,1.5773
CsBiSe2,1.07,0.953
CsBr,7.18,4.2392
CsBr,7.18,4.2575
CsCdBO3,2.58,1.6462
CsCeCdSe3,2.4,0.0184
CsCl,7.8,4.9884
CsCl,7.8,4.8482
CsCu2AsS3,2.3,1.3532
CsErZnSe3,2.56,2.1566
CsF,10,5.2626
CsF,10,5.938
CsGaS3,3,2.6472
CsGdZnTe3,2.13,0.8743
CsGeI3,1.6,0.9905
CsGeI3,1.6,1.1901
CsI,6.4,3.6776
CsI,6.4,3.8727
CsI,6.4,3.1234
CsI,6.4,3.8409
CsI,6.4,3.8556
CsInI3,0,0.0565
CsInI3,0,1.4872
CsInS2,3.4,2.4776
CsInSe2,2.81,1.6302
CsInTe2,2.16,1.3522
CsInTe3O8,3.9,3.066
CsLaHgSe3,2.51,1.4545
CsLu7S11,1.86,2.0318
CsLu7Se11,1.78,1.5105
CsNi2F6,0,0.9768
CsPSe6,1.9,1.7032
CsPSe6,1.9,1.6167
CsSb,0.8,0.5216
CsSb,0.8,0.5558
CsSbS2,2.8,1.7364
CsSbSe2,1.7,1.1399
CsSmCdSe3,2.47,2.0217
CsSmHgSe3,2.374,1.3625
CsSmZnSe3,2.43,2.0424
CsTbZnTe3,2.12,1.3573
CsYbMnSe3,1.6,1.2409
CsYCdSe3,2.54,2.0855
CsYHgSe3,2.54,1.3946
CsYZnSe3,2.41,2.1117
CsZn2B3O7,5.69,3.5131
Cu2GeS3,0.53,0.0258
Cu2GeS3,0.53,0.1111
Cu2H3ClO3,0,0.2633
Cu2Hg2SF6,0,0.4967
Cu2O,2.59,0.5127
Cu2OF2,0,0.0459
Cu2OF2,0,0.1016
Cu2Se,1.23,0.0763
Cu2SnSe3,0.7,0.0858
Cu2SnSe3,0.7,0.0191
Cu2WSe4,1.65,1.2757
Cu3Se2(ClO3)2,0,0.0065
CuBr,3.077,0.4871
CuBr,3.077,0.9962
CuBr,3.077,0.1702
CuBr,3.077,0.4321
CuBr,3.077,0.4449
